bls_area_code,metro_name,bls_date,bls_unemp_rate,bls_unemp_yoy_pp
MT4237980000000,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",2026-01-01,4.5,0.3
MT4238300000000,"Pittsburgh, PA Metropolitan Statistical Area",2026-01-01,4.3,-0.2
MT4239740000000,"Reading, PA Metropolitan Statistical Area",2026-01-01,4.4,0.2
MT4242540000000,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",2026-01-01,5.1,0.1
MT4244300000000,"State College, PA Metropolitan Statistical Area",2026-01-01,3,-0.3
MT4248700000000,"Williamsport, PA Metropolitan Statistical Area",2026-01-01,4.8,-0.2
MT4249620000000,"York-Hanover, PA Metropolitan Statistical Area",2026-01-01,3.9,0.1
MT4439300000000,"Providence-Warwick, RI-MA Metropolitan Statistical Area",2026-01-01,5.7,0.1
MT4516700000000,"Charleston-North Charleston, SC Metropolitan Statistical Area",2026-01-01,4.6,1
MT4517900000000,"Columbia, SC Metropolitan Statistical Area",2026-01-01,5.2,1.1
MT4522500000000,"Florence, SC Metropolitan Statistical Area",2026-01-01,6,1.5
MT4524860000000,"Greenville-Anderson-Greer, SC Metropolitan Statistical Area",2026-01-01,5,1.2
MT4525940000000,"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area",2026-01-01,5.3,1.3
MT4534820000000,"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area",2026-01-01,7,1.5
MT4543900000000,"Spartanburg, SC Metropolitan Statistical Area",2026-01-01,5.6,1.3
MT4544940000000,"Sumter, SC Metropolitan Statistical Area",2026-01-01,6.7,1.4
MT4639660000000,"Rapid City, SD Metropolitan Statistical Area",2026-01-01,2.4,0.4
MT4643620000000,"Sioux Falls, SD-MN Metropolitan Statistical Area",2026-01-01,2.5,0.4
MT4716860000000,"Chattanooga, TN-GA Metropolitan Statistical Area",2026-01-01,3.4,-0.1
MT4717300000000,"Clarksville, TN-KY Metropolitan Statistical Area",2026-01-01,4.2,-0.2
MT4717420000000,"Cleveland, TN Metropolitan Statistical Area",2026-01-01,3.7,-0.4
MT4727180000000,"Jackson, TN Metropolitan Statistical Area",2026-01-01,3.9,-0.3
MT4727740000000,"Johnson City, TN Metropolitan Statistical Area",2026-01-01,3.4,-0.6
MT4728700000000,"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",2026-01-01,3.7,-0.2
MT4728940000000,"Knoxville, TN Metropolitan Statistical Area",2026-01-01,3.1,-0.4
MT4732820000000,"Memphis, TN-MS-AR Metropolitan Statistical Area",2026-01-01,4.5,0
MT4734100000000,"Morristown, TN Metropolitan Statistical Area",2026-01-01,4.1,-0.1
MT4734980000000,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2026-01-01,3,-0.1
MT4810180000000,"Abilene, TX Metropolitan Statistical Area",2026-01-01,3.6,0.1
MT4811100000000,"Amarillo, TX Metropolitan Statistical Area",2026-01-01,3.3,0.2
MT4812420000000,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2026-01-01,3.7,0.2
MT4813140000000,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",2026-01-01,6,0.6
MT4815180000000,"Brownsville-Harlingen, TX Metropolitan Statistical Area",2026-01-01,7.2,1.8
MT4817780000000,"College Station-Bryan, TX Metropolitan Statistical Area",2026-01-01,3.7,0.2
MT4818580000000,"Corpus Christi, TX Metropolitan Statistical Area",2026-01-01,4.8,0.4
MT4819100000000,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",2026-01-01,4.2,0.3
MT4820580000000,"Eagle Pass, TX Metropolitan Statistical Area",2026-01-01,9.8,1.1
MT4821340000000,"El Paso, TX Metropolitan Statistical Area",2026-01-01,4.6,0.4
MT4826420000000,"Houston-Pasadena-The Woodlands, TX Metropolitan Statistical Area",2026-01-01,4.9,0.5
MT4828660000000,"Killeen-Temple, TX Metropolitan Statistical Area",2026-01-01,5,0.4
MT4829700000000,"Laredo, TX Metropolitan Statistical Area",2026-01-01,4.8,0.5
MT4830980000000,"Longview, TX Metropolitan Statistical Area",2026-01-01,4.8,-0.1
MT4831180000000,"Lubbock, TX Metropolitan Statistical Area",2026-01-01,3.7,0.2
MT4832580000000,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",2026-01-01,6.9,0.7
MT4833260000000,"Midland, TX Metropolitan Statistical Area",2026-01-01,3.4,0.4
MT4836220000000,"Odessa, TX Metropolitan Statistical Area",2026-01-01,4.1,0.4
MT4841660000000,"San Angelo, TX Metropolitan Statistical Area",2026-01-01,3.5,0.2
MT4841700000000,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",2026-01-01,4.3,0.5
MT4843300000000,"Sherman-Denison, TX Metropolitan Statistical Area",2026-01-01,4.3,0.5
MT4845500000000,"Texarkana, TX-AR Metropolitan Statistical Area",2026-01-01,5,0.8
MT4846340000000,"Tyler, TX Metropolitan Statistical Area",2026-01-01,4.2,0.3
MT4847020000000,"Victoria, TX Metropolitan Statistical Area",2026-01-01,4.6,0.5
MT4847380000000,"Waco, TX Metropolitan Statistical Area",2026-01-01,4.2,0.3
MT4848660000000,"Wichita Falls, TX Metropolitan Statistical Area",2026-01-01,4.1,0.3
MT4930860000000,"Logan, UT-ID Metropolitan Statistical Area",2026-01-01,3.6,0.8
MT4936260000000,"Ogden, UT Metropolitan Statistical Area",2026-01-01,3.8,0.8
MT4939340000000,"Provo-Orem-Lehi, UT Metropolitan Statistical Area",2026-01-01,4,0.8
MT4941100000000,"St. George, UT Metropolitan Statistical Area",2026-01-01,4,0.7
MT4941620000000,"Salt Lake City-Murray, UT Metropolitan Statistical Area",2026-01-01,3.9,0.7
MT5015540000000,"Burlington-South Burlington, VT Metropolitan Statistical Area",2026-01-01,2.7,0.3
MT5113980000000,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",2026-01-01,4.1,0.8
MT5116820000000,"Charlottesville, VA Metropolitan Statistical Area",2026-01-01,3.2,0.5
MT5125500000000,"Harrisonburg, VA Metropolitan Statistical Area",2026-01-01,3.4,0.4
MT5131340000000,"Lynchburg, VA Metropolitan Statistical Area",2026-01-01,4,0.5
MT5140060000000,"Richmond, VA Metropolitan Statistical Area",2026-01-01,3.8,0.6
MT5140220000000,"Roanoke, VA Metropolitan Statistical Area",2026-01-01,3.6,0.4
MT5144420000000,"Staunton-Stuarts Draft, VA Metropolitan Statistical Area",2026-01-01,3.2,0.4
MT5147260000000,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area",2026-01-01,4,0.6
MT5149020000000,"Winchester, VA-WV Metropolitan Statistical Area",2026-01-01,3.6,0.6
MT5313380000000,"Bellingham, WA Metropolitan Statistical Area",2026-01-01,5,0.2
MT5314740000000,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",2026-01-01,4.8,0.1
MT5328420000000,"Kennewick-Richland, WA Metropolitan Statistical Area",2026-01-01,5.8,0.1
MT5331020000000,"Longview-Kelso, WA Metropolitan Statistical Area",2026-01-01,6,0.4
MT5334580000000,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",2026-01-01,5.5,0.2
MT5336500000000,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",2026-01-01,4.9,0.2
MT5342660000000,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",2026-02-01,5.7,1.3
MT5344060000000,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",2026-01-01,5.2,-0.1
MT5347460000000,"Walla Walla, WA Metropolitan Statistical Area",2026-01-01,5.1,0.1
MT5348300000000,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",2026-01-01,6,0
MT5349420000000,"Yakima, WA Metropolitan Statistical Area",2026-01-01,7.7,0.1
MT5413220000000,"Beckley, WV Metropolitan Statistical Area",2026-01-01,5.4,0.8
MT5416620000000,"Charleston, WV Metropolitan Statistical Area",2026-01-01,4.8,0.4
MT5426580000000,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",2026-01-01,5.1,-0.6
MT5434060000000,"Morgantown, WV Metropolitan Statistical Area",2026-01-01,4.1,0.4
MT5437620000000,"Parkersburg-Vienna, WV Metropolitan Statistical Area",2026-01-01,5.9,0.9
MT5448540000000,"Wheeling, WV-OH Metropolitan Statistical Area",2026-01-01,5.4,-0.3
MT5511540000000,"Appleton, WI Metropolitan Statistical Area",2026-01-01,3.1,0.2
MT5520740000000,"Eau Claire, WI Metropolitan Statistical Area",2026-01-01,4.2,0.4
MT5522540000000,"Fond du Lac, WI Metropolitan Statistical Area",2026-01-01,3.4,0.1
MT5524580000000,"Green Bay, WI Metropolitan Statistical Area",2026-01-01,3.4,0.3
MT5527500000000,"Janesville-Beloit, WI Metropolitan Statistical Area",2026-01-01,4.2,0.3
MT5528450000000,"Kenosha, WI Metropolitan Statistical Area",2026-01-01,4,0.2
MT5529100000000,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",2026-01-01,3.8,0.5
MT5531540000000,"Madison, WI Metropolitan Statistical Area",2026-01-01,2.9,0.3
MT5533340000000,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",2026-01-01,3.9,0.3
MT5536780000000,"Oshkosh-Neenah, WI Metropolitan Statistical Area",2026-01-01,3.3,0.3
MT5539540000000,"Racine-Mount Pleasant, WI Metropolitan Statistical Area",2026-01-01,4.6,0.3
MT5543100000000,"Sheboygan, WI Metropolitan Statistical Area",2026-01-01,3.1,0.3
MT5548140000000,"Wausau, WI Metropolitan Statistical Area",2026-01-01,3.3,0.4
MT5616220000000,"Casper, WY Metropolitan Statistical Area",2026-01-01,4.5,0.2
MT5616940000000,"Cheyenne, WY Metropolitan Statistical Area",2026-01-01,4.5,0.1
MT7210380000000,"Aguadilla, PR Metropolitan Statistical Area",2026-01-01,7.2,0
MT7211640000000,"Arecibo, PR Metropolitan Statistical Area",2026-01-01,6.1,-0.3
MT7225020000000,"Guayama, PR Metropolitan Statistical Area",2026-01-01,9.1,0
MT7232420000000,"Mayaguez, PR Metropolitan Statistical Area",2026-01-01,8.5,1.1
MT7238660000000,"Ponce, PR Metropolitan Statistical Area",2026-01-01,8.6,0
MT7241980000000,"San Juan-Bayamon-Caguas, PR Metropolitan Statistical Area",2026-01-01,4.4,0.2
